transaction_id,customer_name,phone_number,transaction_amount,transaction_status
1,John Thor,+6281234564030,"Rp 54,000",success
2,Jane Smith,+6281234567891,"Rp 25,000",success
4,Emily Davis,+6281234567893,"Rp 32,000",success
6,Susan Anderson,+6281234567895,"Rp 61,000",success
7,Robert Clark,+6281234567896,"Rp 29,000",success
10,Elizabeth White,+6281234567899,"Rp 54,000",success
11,James Taylor,+6281234567810,"Rp 25,000",success
14,Linda Martinez,+6281234567813,"Rp 45,000",success
15,Thomas Harris,+6281234567814,"Rp 61,000",success
16,Barbara Hall,+6281234567815,"Rp 29,000",success
19,Charles Walker,+6281234567818,"Rp 54,000",success
20,Karen Turner,+6281234567819,"Rp 25,000",success
22,Margaret Scott,+6281234567821,"Rp 32,000",success
23,Edward Robinson,+6281234567822,"Rp 45,000",success
24,Jennifer Moore,+6281234567823,"Rp 61,000",success
25,Richard Lopez,+6281234567824,"Rp 29,000",success
27,Joseph Hall,+6281234567826,"Rp 37,000",success
28,Patricia Thompson,+6281234567827,"Rp 54,000",success
31,David Clark,+6281234567830,"Rp 32,000",success
32,Nancy Martin,+6281234567831,"Rp 45,000",success
33,James White,+6281234567832,"Rp 61,000",success
35,Michael Wilson,+6281234567834,"Rp 48,000",success
37,John Jackson,+6281234567836,"Rp 54,000",success
38,Donna Thomas,+6281234567837,"Rp 25,000",success
39,William King,+6281234567838,"Rp 75,000",success
42,Carol Davis,+6281234567841,"Rp 61,000",success
43,Christopher Lee,+6281234567842,"Rp 29,000",success
46,Sharon Martinez,+6281234567845,"Rp 54,000",success
47,Jose Wright,+6281234567846,"Rp 25,000",success
50,Donna Clark,+6281234567849,"Rp 45,000",success
51,Charles Thompson,+6281234567850,"Rp 61,000",success
54,Helen Rodriguez,+6281234567853,"Rp 37,000",success
55,Thomas Wright,+6281234567854,"Rp 54,000",success
56,Shirley Hall,+6281234567855,"Rp 25,000",success
58,Karen Wilson,+6281234567857,"Rp 32,000",success
59,Joseph Thomas,+6281234567858,"Rp 45,000",success
63,William Lopez,+6281234567862,"Rp 37,000",success
64,Jennifer Young,+6281234567863,"Rp 54,000",success
65,James Harris,+6281234567864,"Rp 25,000",success
68,Susan Thomas,+6281234567867,"Rp 45,000",success
69,Robert Robinson,+6281234567868,"Rp 61,000",success
72,Susan Turner,+6281234567871,"Rp 37,000",success
73,Michael Johnson,+6281234567872,"Rp 54,000",success
75,David Anderson,+6281234567874,"Rp 75,000",success
76,Donna Davis,+6281234567875,"Rp 32,000",success
77,Joseph Jackson,+6281234567876,"Rp 45,000",success
80,Elizabeth Anderson,+6281234567879,"Rp 48,000",success
81,Michael Turner,+6281234567880,"Rp 37,000",success
82,Linda Taylor,+6281234567881,"Rp 54,000",success
84,Mary Jackson,+6281234567883,"Rp 75,000",success
85,Robert Davis,+6281234567884,"Rp 32,000",success
89,Michael Harris,+6281234567888,"Rp 48,000",success
90,Sharon Young,+6281234567889,"Rp 37,000",success
93,Michael Thomas,+6281234567892,"Rp 75,000",success
94,Patricia Johnson,+6281234567893,"Rp 32,000",success
95,William Harris,+6281234567894,"Rp 45,000",success
98,Elizabeth Lewis,+6281234567897,"Rp 48,000",success
99,James Davis,+6281234567898,"Rp 37,000",success
100,Linda Wilson,+6281234567899,"Rp 54,000",success
102,Patricia Davis,+6281234567811,"Rp 75,000",success
103,Charles Jackson,+6281234567812,"Rp 32,000",success
105,Thomas Rodriguez,+6281234567814,"Rp 61,000",success
109,Michael Martin,+6281234567818,"Rp 54,000",success
110,Patricia Harris,+6281234567819,"Rp 25,000",success
111,William Martinez,+6281234567820,"Rp 75,000",success
114,Sharon Anderson,+6281234567823,"Rp 61,000",success
115,David Davis,+6281234567824,"Rp 29,000",success
116,Mary Hall,+6281234567825,"Rp 48,000",success
118,Elizabeth Turner,+6281234567827,"Rp 54,000",success
119,Robert Smith,+6281234567828,"Rp 25,000",success
